"CONTENT","ISREAD","RECIVER","SENDER","TYPE"
"join code:1","false","3mar","3mar","JOIN_MASSAGE"
"join code:1","false","kimo","3mar","JOIN_MASSAGE"
"join code:1","false","abdo","3mar","JOIN_MASSAGE"
"join code:1","false","ahmed","3mar","JOIN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t,currentWord:______,","true","abdo","3mar","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f,currentWord:______,","true","kimo","abdo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c,currentWord:______,","true","ahmed","kimo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s,currentWord:______,","true","3mar","ahmed","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a,currentWord:______,","true","abdo","3mar","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q,currentWord:______,","true","kimo","abdo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n,currentWord:______,","true","ahmed","kimo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m,currentWord:______,","true","3mar","ahmed","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k,currentWord:______,","true","abdo","3mar","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k-l,currentWord:______,","true","kimo","abdo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k-l-o,currentWord:______,","true","ahmed","kimo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k-l-o-p,currentWord:______,","true","3mar","ahmed","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k-l-o-p-i,currentWord:______,","true","abdo","3mar","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k-l-o-p-i-u,currentWord:______,","true","kimo","abdo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,currentPosition:0,wrongChars:t-f-c-s-a-q-n-m-k-l-o-p-i-u-y,currentWord:______,","true","ahmed","kimo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:0,rightChar:r,","true","3mar","ahmed","CORRECT_GUESS_MASSAGE"
"gameId:1,previousPosition:0,rightChar:r,","true","abdo","ahmed","CORRECT_GUESS_MASSAGE"
"gameId:1,previousPosition:0,rightChar:r,","true","kimo","ahmed","CORRECT_GUESS_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:,currentWord:r_____,","true","3mar","ahmed","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v,currentWord:r_____,","true","kimo","3mar","NEXT_TURN_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team2,","true","3mar","abdo","TEAM_STATUS_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team2,","true","kimo","abdo","TEAM_STATUS_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v-h,currentWord:r_____,","true","ahmed","kimo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v-h-b,currentWord:r_____,","true","3mar","ahmed","NEXT_TURN_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team1,","true","abdo","3mar","TEAM_STATUS_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team1,","true","ahmed","3mar","TEAM_STATUS_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v-h-b-a,currentWord:r_____,","true","kimo","3mar","NEXT_TURN_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team1,","true","abdo","kimo","TEAM_STATUS_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team1,","true","ahmed","kimo","TEAM_STATUS_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v-h-b-a-c,currentWord:r_____,","true","ahmed","kimo","NEXT_TURN_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v-h-b-a-c-x,currentWord:r_____,","true","ahmed","ahmed","NEXT_TURN_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team2,","true","3mar","ahmed","TEAM_STATUS_MASSAGE"
"gameId:1,hasLost:true,defeatedTeam:team2,","true","kimo","ahmed","TEAM_STATUS_MASSAGE"
"gameId:1,previousPosition:1,currentPosition:1,wrongChars:v-h-b-a-c-x-q,currentWord:r_____,","false","3mar","ahmed","NEXT_TURN_MASSAGE"
